iter	RMSE
0	1.13643493
1	0.8459156315
2	0.6386453637
3	0.5039336929
4	0.3894813529
5	0.3128956486
6	0.2624387198
7	0.2234230225
8	0.1983963417
9	0.1813579113
10	0.16067719
11	0.1486262305
12	0.1350275449
13	0.1251199707
14	0.1178276798
15	0.1081615044
16	0.1043016007
17	0.09799541356
18	0.09307135208
19	0.09105564589
20	0.08649750785
21	0.08379100891
22	0.08268703099
23	0.079831032
24	0.07729536775
25	0.07483694637
26	0.0732270844
27	0.07250331629
28	0.07151663884
29	0.07034785898
30	0.06936551431
31	0.06898330574
32	0.06860422577
33	0.06776915398
34	0.06756896927
35	0.06674871241
36	0.06630546874
37	0.06599358755
38	0.06552756511
39	0.06483088862
40	0.06449804482
41	0.06417087118
42	0.06324118261
43	0.06284903323
44	0.0627670073
45	0.06248431572
46	0.06200498728
47	0.06188307665
48	0.06166750168
49	0.06111725259
50	0.06083210298
51	0.06075188745
52	0.06052162162
53	0.06005429372
54	0.05994089647
55	0.05981258243
56	0.05968059795
57	0.05941644525
58	0.05920997466
59	0.05900938737
60	0.05857593867
61	0.05844355826
62	0.0582113051
63	0.05811842269
64	0.05803326843
65	0.05789007676
66	0.05780647405
67	0.05771573874
68	0.05765261834
69	0.05741556039
70	0.05725354504
71	0.05717223764
72	0.05702546901
73	0.05695382155
74	0.05691336414
75	0.05687530439
76	0.05674853774
77	0.05668829753
78	0.05664842987
79	0.05657678369
80	0.056528559
81	0.05637115352
82	0.05632597638
83	0.0562485907
84	0.0561561205
85	0.05607493922
86	0.05602211602
87	0.05592771568
88	0.05583035111
89	0.05577381898
90	0.05569836526
91	0.05562502769
92	0.05555889272
93	0.05552175601
94	0.05538552135
95	0.05535175113
96	0.05531387987
97	0.05525877711
98	0.0551960571
99	0.05512614562
100	0.05507888993
101	0.05502458755
102	0.05498171898
103	0.05491147599
104	0.05486798402
105	0.05481361333
106	0.05478885892
107	0.05468727906
108	0.05464090011
109	0.05459796382
110	0.05457393993
111	0.05454153743
112	0.05449100846
113	0.05445556874
114	0.05441990955
115	0.05436896689
116	0.05433822785
117	0.05427547746
118	0.05421938987
119	0.05417464473
120	0.05409961626
121	0.05407256042
122	0.05405816503
123	0.05404334662
124	0.05401812443
125	0.05399645562
126	0.05394756016
127	0.05389662038
128	0.053857784
129	0.05381871362
130	0.05379489611
131	0.05376969079
132	0.05374913937
133	0.05372177788
134	0.0537027927
135	0.05368613903
136	0.05365311264
137	0.05359560488
138	0.05357157096
139	0.05354517474
140	0.05352659291
141	0.05350401616
142	0.05348745992
143	0.05347426888
144	0.05346301733
145	0.05345363317
146	0.05342807224
147	0.05340986279
148	0.05338267395
