iter	Passed	Remaining
407	5313	30684
408	5326	30671
409	5339	30657
410	5352	30644
411	5365	30632
412	5378	30618
413	5391	30606
414	5404	30592
415	5417	30580
416	5430	30566
417	5443	30553
418	5457	30541
419	5470	30528
420	5483	30516
421	5497	30511
422	5511	30502
423	5524	30490
424	5537	30478
425	5551	30467
426	5564	30457
427	5578	30446
428	5592	30438
429	5605	30428
430	5619	30416
431	5632	30406
432	5646	30397
433	5660	30387
434	5673	30375
435	5686	30364
436	5699	30351
437	5713	30339
438	5726	30330
439	5740	30318
440	5753	30305
441	5766	30292
442	5779	30280
443	5792	30269
444	5806	30256
445	5819	30244
446	5832	30231
447	5845	30219
448	5858	30207
449	5871	30194
450	5884	30181
451	5898	30169
452	5911	30159
453	5925	30152
454	5939	30141
455	5952	30129
456	5966	30119
457	5979	30107
458	5992	30095
459	6006	30082
460	6019	30070
461	6032	30057
462	6045	30043
463	6058	30030
464	6071	30016
465	6084	30004
466	6097	29992
467	6110	29980
468	6123	29966
469	6136	29952
470	6149	29939
471	6163	29927
472	6176	29914
473	6189	29901
474	6202	29888
475	6215	29878
476	6229	29867
477	6242	29855
478	6255	29841
479	6268	29828
480	6281	29815
481	6295	29806
482	6308	29792
483	6321	29779
484	6335	29768
485	6348	29755
486	6361	29742
487	6374	29729
488	6387	29716
489	6400	29703
490	6413	29690
491	6426	29678
492	6439	29664
493	6452	29652
494	6465	29638
495	6479	29626
496	6492	29615
497	6505	29603
498	6519	29592
499	6533	29581
500	6546	29568
501	6559	29556
502	6572	29545
503	6586	29533
504	6599	29519
505	6612	29508
506	6626	29497
507	6639	29487
508	6653	29474
509	6666	29463
510	6679	29451
511	6693	29438
512	6712	29454
513	6726	29443
514	6739	29430
515	6752	29418
516	6765	29406
517	6779	29395
518	6793	29384
519	6806	29374
520	6821	29368
521	6834	29355
522	6848	29343
523	6861	29332
524	6875	29320
525	6888	29308
526	6901	29296
527	6915	29284
528	6928	29271
529	6941	29259
530	6955	29249
531	6968	29237
532	6981	29224
533	6995	29212
534	7008	29200
535	7022	29191
536	7036	29180
537	7049	29167
538	7062	29155
539	7076	29143
540	7089	29130
541	7102	29117
542	7116	29107
543	7129	29094
544	7142	29081
545	7155	29068
546	7169	29057
547	7182	29043
548	7195	29032
549	7208	29019
550	7222	29006
551	7235	28994
552	7248	28982
553	7262	28970
554	7275	28958
555	7288	28945
556	7302	28935
557	7315	28923
558	7329	28912
559	7343	28900
560	7356	28888
561	7369	28875
562	7383	28865
563	7396	28852
564	7410	28840
565	7423	28827
566	7436	28814
567	7450	28803
568	7463	28790
569	7476	28778
570	7489	28765
571	7502	28752
572	7516	28741
573	7530	28729
574	7543	28717
575	7556	28704
576	7569	28692
577	7582	28678
578	7596	28666
579	7609	28654
580	7622	28641
581	7636	28628
582	7649	28616
583	7662	28603
584	7675	28591
585	7689	28578
586	7702	28565
587	7715	28553
588	7729	28541
589	7742	28528
590	7755	28515
591	7768	28503
592	7782	28491
593	7795	28479
594	7808	28466
595	7822	28454
596	7835	28442
597	7848	28429
598	7862	28416
599	7875	28403
600	7888	28391
601	7902	28379
602	7915	28366
603	7928	28353
604	7941	28340
605	7955	28329
606	7968	28316
607	7982	28304
608	7995	28292
609	8009	28280
610	8022	28269
611	8035	28256
612	8049	28243
613	8062	28232
614	8075	28218
615	8088	28204
616	8101	28191
617	8114	28178
618	8128	28166
619	8141	28153
620	8154	28139
621	8167	28127
622	8181	28115
623	8194	28102
624	8207	28090
625	8221	28078
626	8234	28065
627	8247	28053
628	8261	28040
629	8274	28027
630	8287	28014
631	8300	28001
632	8314	27991
633	8328	27980
634	8342	27969
635	8355	27957
636	8368	27943
637	8381	27930
638	8395	27918
639	8408	27905
640	8421	27891
641	8434	27878
642	8447	27865
643	8460	27852
644	8474	27840
645	8487	27828
646	8500	27814
647	8513	27801
648	8527	27788
649	8540	27775
650	8553	27762
651	8566	27749
652	8579	27737
653	8593	27724
654	8606	27710
655	8619	27699
656	8633	27687
657	8647	27675
658	8660	27662
659	8673	27649
660	8686	27637
661	8699	27623
662	8713	27612
663	8726	27598
664	8739	27584
665	8752	27571
666	8765	27558
667	8778	27546
668	8791	27531
669	8804	27517
670	8817	27505
671	8831	27492
672	8844	27479
673	8857	27466
674	8871	27454
675	8884	27441
676	8896	27426
677	8910	27413
678	8923	27400
679	8936	27387
680	8949	27374
681	8963	27363
682	8976	27349
683	8989	27337
684	9002	27324
685	9016	27312
686	9030	27301
687	9042	27286
688	9055	27272
689	9069	27260
690	9082	27248
691	9096	27236
692	9109	27223
693	9123	27211
694	9137	27202
695	9151	27190
696	9164	27176
697	9177	27165
698	9191	27153
699	9203	27138
700	9216	27124
701	9229	27109
702	9242	27096
703	9255	27083
704	9272	27079
705	9286	27069
706	9302	27065
707	9316	27056
708	9332	27051
709	9346	27039
710	9360	27027
711	9374	27016
712	9387	27003
713	9400	26991
714	9414	26978
715	9427	26964
716	9440	26951
717	9452	26936
718	9466	26924
719	9480	26912
720	9493	26901
721	9507	26889
722	9520	26876
723	9534	26866
724	9548	26854
725	9561	26841
726	9575	26829
727	9588	26817
728	9602	26804
729	9615	26791
730	9628	26778
731	9642	26766
732	9655	26754
733	9669	26742
734	9683	26731
735	9696	26717
736	9709	26705
737	9723	26692
738	9737	26681
739	9749	26667
740	9762	26653
741	9775	26638
742	9789	26627
743	9802	26613
744	9816	26603
745	9829	26590
746	9843	26579
747	9857	26566
748	9870	26555
749	9884	26542
750	9897	26530
751	9910	26515
752	9923	26503
753	9937	26490
754	9950	26477
755	9963	26462
756	9976	26449
757	9989	26437
758	10003	26425
759	10017	26414
760	10030	26401
761	10044	26388
762	10057	26375
763	10071	26363
764	10085	26353
765	10098	26340
766	10111	26327
767	10125	26314
768	10138	26302
769	10152	26290
770	10165	26278
771	10179	26265
772	10193	26254
773	10206	26242
774	10219	26228
775	10233	26215
776	10246	26203
777	10260	26192
778	10274	26180
779	10286	26165
780	10300	26152
781	10313	26140
782	10327	26128
783	10341	26116
784	10354	26104
785	10367	26091
786	10381	26080
787	10395	26068
788	10408	26054
789	10421	26041
790	10436	26032
791	10449	26018
792	10463	26006
793	10476	25994
794	10490	25981
795	10503	25969
796	10516	25955
797	10530	25944
798	10544	25932
799	10558	25919
800	10571	25907
801	10585	25896
802	10600	25886
803	10614	25876
804	10628	25863
805	10641	25850
806	10653	25835
807	10666	25820
808	10679	25808
809	10693	25796
810	10706	25782
811	10720	25771
812	10733	25757
813	10747	25747
814	10761	25735
815	10775	25724
816	10789	25712
817	10803	25700
818	10817	25690
819	10831	25678
820	10844	25665
821	10858	25653
822	10872	25642
823	10885	25629
824	10899	25617
825	10913	25606
826	10926	25591
827	10940	25579
828	10953	25566
829	10967	25554
830	10980	25540
831	10993	25527
832	11006	25513
833	11020	25502
834	11033	25488
835	11046	25476
836	11059	25462
837	11073	25450
838	11086	25436
839	11099	25423
840	11113	25412
841	11128	25402
842	11143	25393
843	11157	25381
844	11171	25369
845	11184	25356
846	11197	25344
847	11210	25330
848	11224	25317
849	11238	25305
850	11252	25294
851	11265	25280
852	11279	25268
853	11292	25256
854	11306	25243
855	11320	25232
856	11332	25217
857	11346	25206
858	11360	25194
859	11374	25181
860	11388	25170
861	11401	25158
862	11415	25146
863	11429	25133
864	11443	25122
865	11457	25110
866	11471	25100
867	11485	25088
868	11500	25078
869	11514	25067
870	11528	25055
871	11542	25044
872	11556	25031
873	11570	25020
874	11584	25008
875	11597	24995
876	11610	24981
877	11623	24968
878	11636	24953
879	11649	24940
880	11663	24928
881	11677	24917
882	11690	24903
883	11704	24890
884	11717	24877
885	11730	24864
886	11744	24852
887	11758	24840
888	11771	24828
889	11785	24816
890	11799	24805
891	11813	24792
892	11827	24780
893	11841	24768
894	11854	24755
895	11867	24742
896	11881	24730
897	11895	24718
898	11909	24705
899	11922	24693
900	11936	24680
901	11950	24668
902	11963	24656
903	11977	24642
904	11990	24631
905	12004	24618
906	12018	24606
907	12031	24593
908	12045	24581
909	12059	24569
910	12073	24558
911	12086	24543
912	12099	24531
913	12114	24520
914	12128	24508
915	12141	24495
916	12155	24483
917	12168	24470
918	12183	24458
919	12197	24448
920	12210	24434
921	12224	24421
922	12238	24411
923	12252	24399
924	12266	24386
925	12279	24373
926	12294	24362
927	12308	24350
928	12321	24338
929	12335	24325
930	12349	24314
931	12363	24302
932	12377	24290
933	12390	24276
934	12403	24263
935	12417	24251
936	12431	24239
937	12446	24228
938	12460	24216
939	12473	24204
940	12487	24191
941	12500	24177
942	12514	24166
943	12528	24154
944	12541	24141
945	12555	24129
946	12569	24116
947	12582	24102
948	12596	24090
949	12610	24078
950	12624	24066
951	12638	24056
952	12652	24044
953	12666	24032
954	12681	24022
955	12695	24009
956	12708	23996
957	12722	23983
958	12735	23970
959	12748	23956
960	12762	23944
961	12776	23932
962	12789	23919
963	12803	23907
964	12817	23895
965	12831	23883
966	12845	23871
967	12859	23859
968	12873	23846
969	12887	23834
970	12900	23821
971	12914	23809
972	12928	23797
973	12941	23784
974	12954	23770
975	12968	23757
976	12981	23743
977	12994	23729
978	13008	23718
979	13022	23706
980	13036	23694
981	13050	23682
982	13063	23668
983	13077	23656
984	13091	23644
985	13105	23632
986	13119	23620
987	13133	23607
988	13146	23595
989	13160	23582
990	13174	23571
991	13188	23559
992	13202	23546
993	13216	23534
994	13230	23521
995	13244	23509
996	13257	23496
997	13270	23482
998	13285	23471
999	13299	23459
1000	13313	23447
1001	13327	23435
1002	13341	23423
1003	13355	23412
1004	13369	23399
1005	13382	23386
1006	13397	23375
1007	13410	23362
1008	13424	23350
1009	13437	23336
1010	13451	23324
1011	13466	23313
1012	13480	23301
1013	13494	23289
1014	13508	23276
1015	13522	23264
1016	13536	23252
1017	13549	23239
1018	13562	23226
1019	13576	23213
1020	13591	23202
1021	13604	23189
1022	13618	23177
1023	13632	23163
1024	13658	23172
1025	13671	23159
1026	13685	23147
1027	13700	23135
1028	13714	23123
1029	13727	23109
1030	13740	23096
1031	13754	23083
1032	13771	23076
1033	13785	23064
1034	13798	23050
1035	13811	23037
1036	13826	23025
1037	13839	23013
1038	13853	23000
1039	13867	22987
1040	13880	22974
1041	13895	22962
1042	13908	22949
1043	13922	22938
1044	13937	22926
1045	13951	22914
1046	13964	22901
1047	13978	22888
1048	13991	22875
1049	14005	22863
1050	14019	22850
1051	14033	22837
1052	14047	22825
1053	14061	22813
1054	14075	22800
1055	14089	22788
1056	14102	22775
1057	14117	22763
1058	14131	22751
1059	14145	22738
1060	14159	22726
1061	14173	22715
1062	14188	22703
1063	14202	22691
1064	14216	22679
1065	14229	22666
1066	14244	22655
1067	14258	22642
1068	14272	22630
1069	14286	22618
1070	14301	22606
1071	14314	22593
1072	14328	22580
1073	14342	22568
1074	14356	22556
1075	14371	22545
1076	14385	22533
1077	14399	22520
1078	14413	22508
1079	14426	22495
1080	14440	22482
1081	14452	22467
1082	14466	22454
1083	14479	22441
1084	14494	22428
1085	14507	22416
1086	14521	22403
1087	14535	22390
1088	14548	22377
1089	14562	22364
1090	14575	22351
1091	14590	22339
1092	14603	22326
1093	14617	22313
1094	14630	22299
1095	14644	22286
1096	14657	22273
1097	14671	22260
1098	14685	22248
1099	14698	22234
1100	14712	22221
1101	14725	22208
1102	14740	22197
1103	14754	22185
1104	14768	22172
1105	14782	22161
1106	14797	22148
1107	14810	22136
1108	14824	22122
1109	14837	22108
1110	14851	22096
1111	14864	22082
1112	14878	22070
1113	14892	22057
1114	14905	22044
1115	14919	22032
1116	14933	22019
1117	14947	22006
1118	14961	21994
1119	14975	21981
1120	14989	21970
1121	15003	21957
1122	15017	21944
1123	15031	21932
1124	15045	21919
1125	15059	21907
1126	15073	21895
1127	15087	21882
1128	15101	21869
1129	15116	21858
1130	15130	21845
1131	15144	21833
1132	15157	21820
1133	15171	21807
1134	15185	21794
1135	15198	21781
1136	15212	21768
1137	15226	21755
1138	15240	21743
1139	15254	21730
1140	15268	21718
1141	15283	21706
1142	15296	21693
1143	15310	21681
1144	15324	21668
1145	15338	21656
1146	15352	21643
1147	15366	21630
1148	15380	21618
1149	15393	21605
1150	15408	21593
1151	15422	21580
1152	15435	21567
1153	15449	21554
1154	15463	21541
1155	15475	21526
1156	15490	21514
1157	15503	21501
1158	15517	21488
1159	15531	21475
1160	15544	21462
1161	15558	21450
1162	15572	21437
1163	15586	21425
1164	15600	21412
1165	15614	21399
1166	15629	21387
1167	15643	21375
1168	15656	21362
1169	15670	21348
1170	15684	21336
1171	15698	21323
1172	15712	21311
1173	15725	21298
1174	15739	21285
1175	15754	21273
1176	15768	21261
1177	15782	21248
1178	15796	21236
1179	15810	21223
1180	15825	21212
1181	15839	21199
1182	15852	21185
1183	15866	21172
1184	15879	21159
1185	15893	21146
1186	15906	21132
1187	15921	21120
1188	15935	21108
1189	15948	21094
1190	15962	21081
1191	15976	21069
1192	15990	21056
1193	16004	21044
1194	16018	21032
1195	16032	21018
1196	16045	21005
1197	16060	20993
1198	16074	20981
1199	16087	20967
1200	16100	20953
1201	16114	20941
1202	16129	20929
1203	16142	20916
1204	16156	20902
1205	16169	20889
1206	16185	20878
1207	16199	20866
1208	16214	20854
1209	16228	20842
1210	16243	20830
1211	16258	20818
1212	16272	20807
1213	16286	20794
1214	16300	20781
1215	16314	20769
1216	16329	20756
1217	16342	20742
1218	16355	20729
1219	16369	20716
