iter	MAPE
0	0.32589577
1	0.3246421053
2	0.3234076001
3	0.3221549963
4	0.3209034746
5	0.3196714306
6	0.3184233674
7	0.3171750283
8	0.3159295324
9	0.3146852246
10	0.3134513347
11	0.3122062844
12	0.3109647774
13	0.3097337307
14	0.3085063122
15	0.3072722525
16	0.3060374291
17	0.3048101379
18	0.3035720681
19	0.3023483839
20	0.3011203077
21	0.299901164
22	0.2986688231
23	0.2974424654
24	0.2962156622
25	0.2949887105
26	0.2937633289
27	0.292538499
28	0.2913150694
29	0.2900985355
30	0.288886712
31	0.2876654041
32	0.2864489764
33	0.2852333549
34	0.2840304427
35	0.2828214411
36	0.2816223694
37	0.2804096334
38	0.2792008652
39	0.2779923304
40	0.2767900336
41	0.2755986851
42	0.2743940543
43	0.2731945582
44	0.2719932586
45	0.2708019312
46	0.2696188364
47	0.2684237747
48	0.2672432048
49	0.2660601947
50	0.2648731958
51	0.2636791951
52	0.262483115
53	0.2612968163
54	0.2601066347
55	0.2589183627
56	0.2577439671
57	0.2565707172
58	0.2553895531
59	0.2542127386
60	0.2530434352
61	0.251878736
62	0.2506984631
63	0.249526762
64	0.2483574162
65	0.2472205545
66	0.2460573193
67	0.2448801017
68	0.2437138324
69	0.2425458233
70	0.2413800632
71	0.2402106961
72	0.2390567967
73	0.2379024093
74	0.2367440754
75	0.2355848503
76	0.2344332212
77	0.2332862599
78	0.232138259
79	0.2309951593
80	0.2298384804
81	0.2286992848
82	0.2275615744
83	0.2264150799
84	0.2252634508
85	0.2241139434
86	0.2229735596
87	0.22181896
88	0.2206903944
89	0.2195426693
90	0.2184057864
91	0.2172624746
92	0.2161335271
93	0.2149939284
94	0.2138613314
95	0.2127357575
96	0.2116172703
97	0.2104835064
98	0.2093561078
99	0.2082315524
100	0.2071076335
101	0.2060097698
102	0.2049111847
103	0.2037966228
104	0.2026792601
105	0.2015736308
106	0.2004582201
107	0.1993541397
108	0.1982388776
109	0.19712143
110	0.1960039825
111	0.1948963587
112	0.1937922358
113	0.1926865216
114	0.1915794495
115	0.1904802915
116	0.189383022
117	0.1882876407
118	0.1871902651
119	0.1860938442
120	0.1850124878
121	0.1839265485
122	0.1828374265
123	0.1817355739
124	0.1806625773
125	0.1795784414
126	0.1784948572
127	0.1774133629
128	0.1763346588
129	0.1752586917
130	0.174179404
131	0.1730945149
132	0.1720236295
133	0.1709459862
134	0.1698645344
135	0.1687919515
136	0.1677277071
137	0.1666556547
138	0.1655899145
139	0.1645241425
140	0.1634500638
141	0.1623926303
142	0.1613385068
143	0.1602823145
144	0.1592281273
145	0.1581722534
146	0.1571084546
147	0.1560575879
148	0.1550117817
149	0.1539649358
150	0.1529110457
151	0.1518569964
152	0.1508122405
153	0.1497688
154	0.1487207871
155	0.1477057253
156	0.1467013889
157	0.1456623511
158	0.1446337842
159	0.1435920942
160	0.1425638031
161	0.1415383021
162	0.1405100641
163	0.139485571
164	0.1384676978
165	0.137437147
166	0.1364248116
167	0.1354093254
168	0.1343837395
169	0.1333544937
170	0.1323352095
171	0.1313101435
172	0.1303022426
173	0.1292895146
174	0.128283258
175	0.1272775001
176	0.126277089
177	0.1252792134
178	0.1242762986
179	0.1232615337
180	0.1222676258
181	0.1212605099
182	0.1202649577
183	0.1192736277
184	0.1182827963
185	0.1172960812
