iter	RMSE
0	1.429269327
1	1.317630115
2	1.216006417
3	1.122056711
4	1.035908491
5	0.9573456661
6	0.8848242572
7	0.8187367195
8	0.7578455419
9	0.7019545821
10	0.6510997075
11	0.6047150589
12	0.5623912474
13	0.5235624437
14	0.4884795739
15	0.4563735992
16	0.4271381255
17	0.4005953489
18	0.3762898837
19	0.3543589395
20	0.3338588034
21	0.3159843442
22	0.2994882539
23	0.2844563605
24	0.2708057829
25	0.2579400696
26	0.2468008123
27	0.236630537
28	0.2274027303
29	0.2191526574
30	0.2113291117
31	0.2038950902
32	0.197154325
33	0.1911815509
34	0.1859204616
35	0.181204077
36	0.1769123141
37	0.1732095458
38	0.1697526922
39	0.1659797455
40	0.1624937544
41	0.1586767016
42	0.1559881963
43	0.152403794
44	0.1497175899
45	0.1473761972
46	0.1449194688
47	0.1427378083
48	0.1412509007
49	0.1396348962
50	0.1380443666
51	0.1368203192
52	0.1344845235
53	0.1333083693
54	0.1316635
55	0.1299518858
56	0.1290874185
57	0.127546828
58	0.1263323028
59	0.1253867984
60	0.1245002276
61	0.1227603314
62	0.1215248317
63	0.1207985518
64	0.1200835348
65	0.1189169031
66	0.117566679
67	0.1169372677
68	0.1161377515
69	0.1155297511
70	0.114150937
71	0.1133945333
72	0.1125313114
73	0.1113051766
74	0.1105263742
75	0.109388162
76	0.1089387842
77	0.1072957224
78	0.1058926895
79	0.1052290528
80	0.1045775904
81	0.1042728271
82	0.1036576343
83	0.1024020661
84	0.1018045274
85	0.1008571473
86	0.1005175874
87	0.09987481515
88	0.09957632385
89	0.0991649032
90	0.09866961143
91	0.09846637447
92	0.09807077767
93	0.09782115001
94	0.09696592401
95	0.09597566768
96	0.09564222621
97	0.09520702574
98	0.09504192139
99	0.09487369082
100	0.09473639488
101	0.09458339505
102	0.09437196818
103	0.0942880112
104	0.09400424317
105	0.09342327282
106	0.09339511048
107	0.09279425211
108	0.09227191992
109	0.0922655538
110	0.09171092906
111	0.09166533267
112	0.09165978352
113	0.09120384367
114	0.0905216689
115	0.09024199737
116	0.089786365
117	0.08950445265
118	0.08922567763
119	0.08897539845
120	0.08888522402
121	0.08864344203
122	0.08839296472
123	0.08838708629
124	0.08827864214
125	0.08811563274
126	0.08799146834
127	0.08774911062
128	0.08762998469
129	0.08713405346
130	0.08670288969
131	0.08648760004
132	0.0860759724
133	0.08570743072
134	0.08552536381
135	0.08517980025
136	0.08516494588
137	0.08510122109
138	0.08505189266
139	0.08480924378
140	0.08480596629
141	0.08459532308
142	0.08451603892
143	0.08432681731
144	0.08419635353
145	0.08419352004
146	0.08418116341
147	0.08415433383
148	0.08405452293
149	0.08377659442
150	0.08352939909
151	0.08330677483
152	0.08330571977
153	0.08326631914
154	0.08326407125
155	0.08300472376
156	0.0829923817
157	0.08297913904
158	0.08277907583
159	0.08277028229
160	0.08276816189
161	0.08275957317
162	0.08267540067
163	0.08265101432
164	0.08253696018
165	0.08234761328
166	0.08228438379
167	0.08227248334
168	0.08226463026
169	0.08206702262
170	0.08205951888
171	0.08205837207
172	0.08186423616
173	0.08185456219
174	0.08177639094
175	0.08170960291
176	0.08170157638
177	0.08169431258
178	0.08160492598
179	0.08159819346
180	0.08159457148
181	0.08158770813
182	0.08147825263
183	0.08135565437
184	0.08116180098
185	0.08106825519
186	0.08106238974
187	0.08095724124
188	0.08077513005
189	0.08076477992
190	0.08075648248
191	0.08075049301
192	0.08071569324
193	0.08070972691
194	0.08058576921
195	0.08055051511
196	0.08049169509
197	0.08045375389
198	0.08045116919
199	0.08044380694
