,2017,2018,2019
CAN,45129.628116623,46539.1761570405,46352.8693445211
FIN,46085.0174739036,49654.2497035329,48358.1807773701
ITA,32554.14668453,34746.3441392416,33812.788724868
KEN,1667.48447230835,1836.45275528993,1960.40808854893
NOR,76131.8384032764,82792.8427113304,76430.5889473338
SGP,61162.0973932771,66840.6373389791,66081.7199235165
